question,context,split
Bagaimana prosedur pengajuan klaim garansi perangkat?,"Untuk mengajukan klaim garansi, hubungi customer service dengan menyertakan bukti pembelian dan deskripsi kerusakan.",train
Apakah internet satelit menyediakan layanan IPv6?,"Ya, kami mendukung IPv6 pada semua paket langganan.",train
Apakah ada biaya aktivasi untuk berlangganan internet satelit?,"Tidak, tidak terdapat biaya aktivasi saat pertama kali berlangganan.",train
Bagaimana cara memilih lokasi terbaik untuk antena satelit?,"Lokasi terbaik adalah area dengan pandangan langsung ke langit tanpa penghalang seperti pohon atau bangunan tinggi.",train
Apa yang harus dilakukan jika sinyal internet satelit melemah?,"Jika sinyal melemah, periksa kembali arah antena, bersihkan antena dari kotoran, dan pastikan tidak ada penghalang baru yang muncul.",train
Apakah ada paket khusus untuk usaha kecil menengah?,"Ya, kami menyediakan layanan khusus UKM dengan fitur dan harga yang disesuaikan untuk kebutuhan bisnis kecil menengah.",train
Berapa jarak jangkauan Wi-Fi dari router internet satelit?,"Jarak jangkauan Wi-Fi dari router standar kami adalah sekitar 20-30 meter dalam ruangan tanpa penghalang.",train
Bagaimana cara menambah kuota data internet satelit?,"Untuk menambah kuota, login ke akun Anda dan pilih opsi 'Beli Data Tambahan' di menu pengelolaan paket.",train
Bagaimana cara memeriksa kecepatan internet satelit?,"Anda dapat memeriksa kecepatan melalui aplikasi kami atau menggunakan layanan speed test online seperti Speedtest.net.",test
Apakah layanan internet satelit mencakup area pegunungan?,"Ya, layanan internet satelit kami mencakup area pegunungan selama masih memiliki pandangan langsung ke langit.",test
Apa yang terjadi jika terjadi pemadaman listrik?,"Jika terjadi pemadaman listrik, layanan akan terhenti hingga listrik kembali menyala, kecuali jika Anda memiliki sistem cadangan seperti UPS atau generator.",test
Bagaimana sistem penagihan bulanan bekerja?,"Sistem penagihan bulanan bekerja dengan mengirimkan invoice ke email terdaftar selama sebulan periode pembayaran dan bisa juga dilihat di website pada menu billing.",test
Apa yang dimaksud dengan latency pada internet satelit?,"Latency adalah waktu yang dibutuhkan sinyal untuk berpindah dari perangkat Anda ke satelit dan kembali, biasanya sekitar 500-700 ms pada internet satelit.",train
Bagaimana cara mengatur pembatasan akses untuk anak-anak?,"Untuk pembatasan akses, dalam sistem kami tidak terdapat hal tersebut.",train
Apakah internet satelit dapat digunakan untuk sistem POS?,"Ya, internet satelit dapat digunakan untuk sistem POS, namun disarankan memilih paket dengan jaminan uptime yang tinggi.",train
Berapa batas waktu untuk melunasi tagihan bulanan?,"Batas waktu pelunasan tagihan adalah selama sebulan setelah dikirimkannya invoice.",train
Bagaimana cara mendaftar layanan internet satelit secara online?,"Untuk mendaftar online, kunjungi website www.mytelkomsat.co.id, pilih menu 'Daftar', isi formulir, dan ikuti instruksi selanjutnya.",train
Apakah ada periode uji coba untuk layanan internet satelit?,"Tidak, kami tidak menyediakan periode uji coba secara gratis.",train
Bagaimana cara mengatasi interferensi sinyal satelit?,"Untuk mengatasi interferensi, pastikan antena tidak terlalu dekat dengan perangkat elektronik lain dan periksa kembali arah antena.",train
Apakah internet satelit bisa digunakan untuk server hosting?,"Internet satelit tidak direkomendasikan untuk server hosting karena latency yang relatif tinggi, namun masih memungkinkan untuk hosting ringan dengan paket bisnis.",train
Bagaimana prosedur perubahan data pelanggan?,"Untuk mengubah data pelanggan, anda bisa menghubungi customer service dengan verifikasi identitas.",train
Berapa kapasitas upload pada internet satelit?,"Kapasitas upload biasanya 1/3 dari kapasitas download, misalnya paket dengan download 15 Mbps akan memiliki upload sekitar 5 Mbps.",train
Bagaimana cara mendapatkan invoice tagihan bulanan?,"Invoice tagihan bulanan akan dikirimkan otomatis ke email terdaftar, atau dapat diakses melalui halaman 'Tagihan Saya' di dalam dashboard menu billing setelah login.",test
Apakah internet satelit dapat digunakan saat bencana alam?,"Ya, internet satelit sering menjadi solusi komunikasi alternatif saat infrastruktur telekomunikasi konvensional terganggu akibat bencana alam.",test
Berapa jumlah maksimal koneksi simultan yang didukung?,"Jumlah maksimal koneksi simultan tergantung pada router yang digunakan, umumnya antara 30-50 perangkat untuk router standar kami.",test
Apakah saya bisa menggunakan router sendiri dengan internet satelit?,"Ya, Anda dapat menggunakan router sendiri selama kompatibel dengan modem satelit kami.",test
Bagaimana cara mendapatkan bantuan teknis di akhir pekan?,"Bantuan teknis tersedia 24/7 termasuk akhir pekan melalui helpdesk seperti yang tertera di website kami.",test
